incident_id,recommendation_id,device_id,case_id,incident_title,cause,safeguard_failure,corrective_action,created_at
INC-0001,REC-0940,DEV-0099,CASE-0706,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-04-07
INC-0002,REC-0311,DEV-0214,CASE-0463,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-03-18
INC-0003,REC-0741,DEV-0167,CASE-0996,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-02-23
INC-0004,REC-0389,DEV-0185,CASE-0112,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-05-02
INC-0005,REC-0911,DEV-0091,CASE-0272,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-03-13
INC-0006,REC-0825,DEV-0228,CASE-0102,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-03-10
INC-0007,REC-0210,DEV-0227,CASE-0793,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-03-23
INC-0008,REC-0022,DEV-0248,CASE-0159,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-03-05
INC-0009,REC-0891,DEV-0229,CASE-0930,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-03-30
INC-0010,REC-0343,DEV-0144,CASE-0454,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-04-11
INC-0011,REC-0699,DEV-0143,CASE-0850,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-02-26
INC-0012,REC-0870,DEV-0141,CASE-0536,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-05-14
INC-0013,REC-0141,DEV-0193,CASE-0240,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-03-30
