recommendation_id,device_id,case_id,evidence_type,weight_percentage,description
REC-0577,DEV-0111,CASE-0577,Network Activity,16.3,Network Activity detected on DEV-0111-CORP with elevated correlation to force password reset.
REC-0577,DEV-0111,CASE-0577,Data Exfiltration Pattern,29.3,Data Exfiltration Pattern detected on DEV-0111-CORP with elevated correlation to force password reset.
REC-0577,DEV-0111,CASE-0577,Anomalous Process,28.5,Anomalous Process detected on DEV-0111-CORP with elevated correlation to force password reset.
REC-0577,DEV-0111,CASE-0577,Patch Violation,25.9,Patch Violation detected on DEV-0111-CORP with elevated correlation to force password reset.
REC-0630,DEV-0044,CASE-0630,Network Activity,40.7,Network Activity detected on DEV-0044-CORP with elevated correlation to restrict network access.
REC-0630,DEV-0044,CASE-0630,Patch Violation,1.8,Patch Violation detected on DEV-0044-CORP with elevated correlation to restrict network access.
REC-0630,DEV-0044,CASE-0630,Malware Signature,57.5,Malware Signature detected on DEV-0044-CORP with elevated correlation to restrict network access.
REC-0558,DEV-0117,CASE-0558,Data Exfiltration Pattern,11.0,Data Exfiltration Pattern detected on DEV-0117-CORP with elevated correlation to restrict network access.
REC-0558,DEV-0117,CASE-0558,Failed Logins,7.6,Failed Logins detected on DEV-0117-CORP with elevated correlation to restrict network access.
REC-0558,DEV-0117,CASE-0558,Anomalous Process,2.1,Anomalous Process detected on DEV-0117-CORP with elevated correlation to restrict network access.
REC-0558,DEV-0117,CASE-0558,Malware Signature,16.6,Malware Signature detected on DEV-0117-CORP with elevated correlation to restrict network access.
REC-0558,DEV-0117,CASE-0558,Patch Violation,62.6,Patch Violation detected on DEV-0117-CORP with elevated correlation to restrict network access.
REC-0642,DEV-0247,CASE-0642,Suspicious DNS Query,18.1,Suspicious DNS Query detected on DEV-0247-CORP with elevated correlation to deploy security patch.
REC-0642,DEV-0247,CASE-0642,Anomalous Process,72.6,Anomalous Process detected on DEV-0247-CORP with elevated correlation to deploy security patch.
