recommendation_id,device_id,case_id,risk_level,requires_evidence_review,requires_impact_review,requires_written_justification
REC-0001,DEV-0103,CASE-0001,Low,False,False,False
REC-0002,DEV-0038,CASE-0002,Critical,True,True,True
REC-0003,DEV-0244,CASE-0003,Medium,True,False,False
REC-0004,DEV-0172,CASE-0004,Medium,True,False,False
REC-0005,DEV-0228,CASE-0005,Medium,True,False,False
REC-0006,DEV-0089,CASE-0006,Low,False,False,False
REC-0007,DEV-0162,CASE-0007,Critical,True,True,True
REC-0008,DEV-0103,CASE-0008,Critical,True,True,True
REC-0009,DEV-0036,CASE-0009,Low,False,False,False
REC-0010,DEV-0225,CASE-0010,High,True,True,False
REC-0011,DEV-0113,CASE-0011,Critical,True,True,True
REC-0012,DEV-0147,CASE-0012,Medium,True,False,False
REC-0013,DEV-0097,CASE-0013,High,True,True,False
REC-0014,DEV-0220,CASE-0014,Medium,True,False,False
REC-0015,DEV-0233,CASE-0015,High,True,True,False
REC-0016,DEV-0093,CASE-0016,High,True,True,False
REC-0017,DEV-0204,CASE-0017,Medium,True,False,False
REC-0018,DEV-0061,CASE-0018,Medium,True,False,False
REC-0019,DEV-0225,CASE-0019,Critical,True,True,True
REC-0020,DEV-0234,CASE-0020,Low,False,False,False
REC-0021,DEV-0065,CASE-0021,Critical,True,True,True
REC-0022,DEV-0170,CASE-0022,Low,False,False,False
REC-0023,DEV-0013,CASE-0023,Low,False,False,False
REC-0024,DEV-0122,CASE-0024,High,True,True,False
REC-0025,DEV-0144,CASE-0025,High,True,True,False
REC-0026,DEV-0222,CASE-0026,Medium,True,False,False
REC-0027,DEV-0219,CASE-0027,Low,False,False,False
REC-0028,DEV-0012,CASE-0028,Critical,True,True,True
REC-0029,DEV-0120,CASE-0029,Medium,True,False,False
REC-0030,DEV-0113,CASE-0030,Medium,True,False,False
REC-0031,DEV-0076,CASE-0031,High,True,True,False
REC-0032,DEV-0109,CASE-0032,Low,False,False,False
REC-0033,DEV-0170,CASE-0033,High,True,True,False
REC-0034,DEV-0070,CASE-0034,Medium,True,False,False
REC-0035,DEV-0001,CASE-0035,Medium,True,False,False
REC-0036,DEV-0227,CASE-0036,Medium,True,False,False
REC-0037,DEV-0122,CASE-0037,High,True,True,False
REC-0038,DEV-0046,CASE-0038,Critical,True,True,True
REC-0039,DEV-0011,CASE-0039,Medium,True,False,False
REC-0040,DEV-0181,CASE-0040,Medium,True,False,False
REC-0041,DEV-0154,CASE-0041,Medium,True,False,False
REC-0042,DEV-0103,CASE-0042,High,True,True,False
REC-0043,DEV-0029,CASE-0043,High,True,True,False
REC-0044,DEV-0183,CASE-0044,Medium,True,False,False
REC-0045,DEV-0021,CASE-0045,High,True,True,False
REC-0046,DEV-0121,CASE-0046,Medium,True,False,False
REC-0047,DEV-0215,CASE-0047,Medium,True,False,False
REC-0048,DEV-0202,CASE-0048,Medium,True,False,False
REC-0049,DEV-0111,CASE-0049,Medium,True,False,False
REC-0050,DEV-0070,CASE-0050,High,True,True,False
REC-0051,DEV-0079,CASE-0051,Low,False,False,False
REC-0052,DEV-0212,CASE-0052,Medium,True,False,False
REC-0053,DEV-0151,CASE-0053,Medium,True,False,False
REC-0054,DEV-0062,CASE-0054,Medium,True,False,False
REC-0055,DEV-0060,CASE-0055,High,True,True,False
REC-0056,DEV-0097,CASE-0056,Medium,True,False,False
REC-0057,DEV-0192,CASE-0057,High,True,True,False
REC-0058,DEV-0123,CASE-0058,Medium,True,False,False
REC-0059,DEV-0155,CASE-0059,Medium,True,False,False
REC-0060,DEV-0218,CASE-0060,Medium,True,False,False
REC-0061,DEV-0246,CASE-0061,Critical,True,True,True
REC-0062,DEV-0201,CASE-0062,Medium,True,False,False
REC-0063,DEV-0108,CASE-0063,Low,False,False,False
REC-0064,DEV-0148,CASE-0064,Medium,True,False,False
