limitation_id,recommendation_id,limitation,severity,impact
LIM-00001,REC-0001,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00002,REC-0002,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00003,REC-0002,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00004,REC-0003,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00005,REC-0005,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00006,REC-0005,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00007,REC-0006,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00008,REC-0006,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00009,REC-0007,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00010,REC-0008,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00011,REC-0009,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00012,REC-0010,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00013,REC-0010,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00014,REC-0011,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00015,REC-0012,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00016,REC-0013,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00017,REC-0014,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00018,REC-0015,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00019,REC-0017,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00020,REC-0018,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00021,REC-0020,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00022,REC-0020,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00023,REC-0021,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00024,REC-0022,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00025,REC-0022,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00026,REC-0023,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00027,REC-0023,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00028,REC-0024,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00029,REC-0026,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00030,REC-0027,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00031,REC-0027,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00032,REC-0029,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00033,REC-0029,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00034,REC-0030,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00035,REC-0030,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00036,REC-0031,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00037,REC-0031,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00038,REC-0032,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00039,REC-0032,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00040,REC-0033,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00041,REC-0033,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00042,REC-0034,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00043,REC-0034,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00044,REC-0035,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00045,REC-0036,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00046,REC-0037,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00047,REC-0037,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00048,REC-0038,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00049,REC-0038,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
