source_id,recommendation_id,source_name,source_type,trust_level,last_updated,description,data_collected
SRC-00001,REC-0001,Security Logs,SIEM Stream,High,2026-05-16 23:49,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00002,REC-0001,Historical Incident Records,Incident Registry,High,2026-05-16 23:50,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
SRC-00003,REC-0001,Endpoint Detection Systems,EDR Engine,High,2026-05-16 23:46,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00004,REC-0002,Network Anomaly Detection,IDS/IPS System,Moderate,2026-05-10 23:39,Deep packet analysis searching for payload abnormalities and network threats.,"Suspected port scans, unexpected SMB payloads, DNS tunnel signatures"
SRC-00005,REC-0002,Device Telemetry,Endpoint Agent,High,2026-05-10 23:49,"Real-time process, memory, and registry events from local device agent.","Process creation flags, DLL injection traces, registry modification events"
SRC-00006,REC-0002,Malware Detection Engine,Antivirus Scanner,High,2026-05-10 23:55,Active file scanner matching signatures against global virus databases.,"File hash signatures, virus definition release dates, quarantine status"
SRC-00007,REC-0002,Endpoint Detection Systems,EDR Engine,Low,2026-05-10 23:45,"Automated endpoint threat analysis, behavior tracking, and detection warnings.","Heuristic trigger scores, suspicious command-line execution patterns"
SRC-00008,REC-0002,Security Logs,SIEM Stream,High,2026-05-10 23:41,Aggregated operating system and active security services events.,"Event ID 4624 (successful login), privilege service requests, firewall logs"
SRC-00009,REC-0003,Network Activity,NetFlow Collector,Very High,2026-06-12 23:50,Metadata for ingress/egress connections and internal network hops.,"Connection durations, data transferred (bytes), destination ports"
SRC-00010,REC-0003,Patch Compliance Records,Systems Management,High,2026-06-12 23:21,Compliance matrix listing applied vs pending software/security patches.,"KB patch IDs, installation date, OS build version numbers"
SRC-00011,REC-0003,Historical Incident Records,Incident Registry,Moderate,2026-06-12 23:56,Database archives of past organizational threats and remediation histories.,"Similar dev box compromise records, past false positive incident resolutions"
